GLOBALTIME -> Machine_XX -- St  -- StartedTim -- CompTim -- MacEff -- MFault 
         0 ->  Machine_0 --   1 --          0 --       0 -- 0.9000 -- 0.0000 
         0 ->  Machine_1 --   1 --          0 --       0 -- 0.8100 -- 0.0000 
         0 ->  Machine_2 --   1 --          0 --       0 -- 0.8400 -- 0.0000 
         0 ->  Machine_3 --   1 --          0 --       0 -- 0.8400 -- 0.0000 
         0 ->  Machine_4 --   1 --          0 --       0 -- 0.8100 -- 0.0000 
         0 ->  Machine_5 --   1 --          0 --       0 -- 0.9200 -- 0.0000 
         0 ->  Machine_6 --   1 --          0 --       0 -- 0.9200 -- 0.0000 
         0 ->  Machine_7 --   1 --          0 --       0 -- 0.9500 -- 0.0000 
         0 ->  Machine_8 --   1 --          0 --       0 -- 0.8100 -- 0.0000 
         0 ->  Machine_9 --   1 --          0 --       0 -- 0.9000 -- 0.0000 
         0 -> Machine_10 --   1 --          0 --       0 -- 0.8700 -- 0.0000 
         0 -> Machine_11 --   1 --          0 --       0 -- 0.9000 -- 0.0000 
         0 -> Machine_12 --   1 --          0 --       0 -- 0.9500 -- 0.0000 
         0 -> Machine_13 --   1 --          0 --       0 -- 0.9200 -- 0.0000 
         0 -> Machine_14 --   1 --          0 --       0 -- 0.9800 -- 0.0000 
         0 -> Machine_15 --   1 --          0 --       0 -- 0.9100 -- 0.0000 
         0 -> Machine_16 --   1 --          0 --       0 -- 0.8400 -- 0.0000 
         0 -> Machine_17 --   1 --          0 --       0 -- 0.9200 -- 0.0000 
         0 -> Machine_18 --   1 --          0 --       0 -- 0.9400 -- 0.0000 
         0 -> Machine_19 --   1 --          0 --       0 -- 0.8900 -- 0.0000 
         0 -> Machine_20 --   1 --          0 --       0 -- 0.8900 -- 0.0000 
         0 -> Machine_21 --   1 --          0 --       0 -- 0.9900 -- 0.0000 
         0 -> Machine_22 --   1 --          0 --       0 -- 0.9800 -- 0.0000 
         0 -> Machine_23 --   1 --          0 --       0 -- 0.9300 -- 0.0000 
         0 -> Machine_24 --   1 --          0 --       0 -- 0.9100 -- 0.0000 
